|count|mean|std|min|25%|50%|75%|max|
|----|----|---|---|----|---|---|---|
|car_ID|205.0|103.0|59.32256456582661|1.0|52.0|103.0|154.0|205.0|
|symboling|205.0|0.8341463414634146|1.2453068281055297|-2.0|0.0|1.0|2.0|3.0|
|wheelbase|205.0|98.75658536585367|6.021775685025571|86.6|94.5|97.0|102.4|120.9|
|carlength|205.0|174.04926829268288|12.33728852655518|141.1|166.3|173.2|183.1|208.1|
|carwidth|205.0|65.90780487804878|2.145203852687183|60.3|64.1|65.5|66.9|72.3|
|carheight|205.0|53.72487804878049|2.4435219699049036|47.8|52.0|54.1|55.5|59.8|
|curbweight|205.0|2555.5658536585365|520.6802035016387|1488.0|2145.0|2414.0|2935.0|4066.0|
|enginesize|205.0|126.90731707317073|41.64269343817984|61.0|97.0|120.0|141.0|326.0|
|boreratio|205.0|3.329756097560975|0.27084370542622926|2.54|3.15|3.31|3.58|3.94|
|stroke|205.0|3.255414634146341|0.31359701376080407|2.07|3.11|3.29|3.41|4.17|
|compressionratio|205.0|10.142536585365855|3.972040321863298|7.0|8.6|9.0|9.4|23.0|
|horsepower|205.0|104.1170731707317|39.54416680936116|48.0|70.0|95.0|116.0|288.0|
|peakrpm|205.0|5125.121951219512|476.98564305694634|4150.0|4800.0|5200.0|5500.0|6600.0|
|citympg|205.0|25.21951219512195|6.542141653001622|13.0|19.0|24.0|30.0|49.0|
|highwaympg|205.0|30.75121951219512|6.886443130941824|16.0|25.0|30.0|34.0|54.0|
|price|205.0|13276.710570731706|7988.85233174315|5118.0|7788.0|10295.0|16503.0|45400.0|
